post_id,date,platform,content_type,campaign,followers,impressions,likes,comments,shares,saves,clicks,new_followers,engagement_rate
40,2024-10-10,Facebook,Reel,NewSeason,1077767,101579,7583,1448,538,836,5392,154,9.4203
41,2024-06-04,TikTok,Post,Summer2024,2416806,111196,8438,1155,581,561,4553,109,9.1496
42,2024-12-03,YouTube,Reel,NBA_Playoffs,721316,149785,13032,1888,523,1327,9373,344,10.3101
43,2024-03-16,Facebook,Image,NBA_Playoffs,214895,25229,1307,158,113,35,984,322,6.2547
44,2024-09-10,YouTube,Image,FanEngagement,3362531,128918,5051,773,456,535,9279,398,4.8713
45,2024-12-22,TikTok,Image,NBA_Playoffs,4354944,244557,6487,566,560,425,16165,341,3.113
46,2024-06-11,YouTube,Post,Merchandise,3722574,322206,40582,7459,1964,4491,13279,81,15.5196
47,2024-05-06,TikTok,Reel,NewSeason,2336256,402506,48742,5980,1536,3118,24129,120,13.9769
48,2024-10-03,Facebook,Story,NewSeason,685934,73547,2913,313,69,120,2871,169,4.4801
49,2024-02-01,YouTube,Reel,FanEngagement,1745052,437674,32658,6065,2043,2924,30624,391,9.3142
50,2024-01-04,YouTube,Reel,FanEngagement,2960766,157559,18584,3308,1780,1150,9820,279,15.0242
51,2024-04-22,YouTube,Image,FanEngagement,2299547,229503,19079,2066,1339,1904,13929,430,9.7968
52,2024-09-30,TikTok,Image,Merchandise,236210,476491,33936,4569,422,2859,9291,236,8.1695
53,2024-07-13,Twitter,Video,NewSeason,2756033,111970,8858,891,789,423,8575,215,9.4114
54,2024-01-10,Facebook,Video,FanEngagement,4534974,28307,4245,435,290,416,1574,386,17.5575
55,2024-01-11,Instagram,Image,NBA_Playoffs,1288275,126066,4589,690,278,191,7433,392,4.408
56,2024-11-06,Facebook,Image,Merchandise,970771,408786,51715,10069,1020,1167,13014,346,15.3635
57,2024-02-08,TikTok,Reel,NBA_Playoffs,4976876,363080,46464,4015,3380,2330,21021,412,14.8339
58,2024-06-26,Instagram,Post,Summer2024,4478991,225593,23912,1442,1632,508,8889,250,11.9623
59,2024-11-21,Instagram,Reel,NewSeason,3866573,371833,14831,1133,844,1261,19749,470,4.5203
60,2024-08-11,YouTube,Reel,FanEngagement,4980037,141716,8772,761,825,420,5889,384,7.309
61,2024-12-08,TikTok,Post,Merchandise,3189192,177368,4209,747,110,173,11679,174,2.8562
62,2024-10-11,Facebook,Post,NewSeason,95153,271861,38943,2447,2913,2681,17146,353,16.2962
63,2024-01-09,TikTok,Reel,FanEngagement,790588,155264,7578,1165,284,592,6696,271,5.814
64,2024-06-18,Facebook,Reel,Merchandise,2961200,369498,29185,2801,897,2688,11856,380,8.8994
65,2024-04-20,YouTube,Image,NBA_Playoffs,4071752,145965,16668,3275,953,805,2486,99,14.3158
66,2024-04-01,Facebook,Image,NewSeason,2545604,8417,943,65,13,24,256,483,12.1302
67,2024-01-07,Twitter,Reel,Summer2024,4825599,150075,12159,1411,323,305,11386,244,9.2574
68,2024-09-08,Instagram,Video,FanEngagement,631446,303525,30907,1793,724,2357,9490,127,11.0119
69,2024-11-06,Instagram,Post,FanEngagement,1903200,407686,35849,4215,1786,3800,32330,156,10.2653
70,2024-11-08,YouTube,Post,Summer2024,842431,497810,59316,8531,2005,1667,13336,282,14.0319
71,2024-07-28,Instagram,Image,Summer2024,3789098,362429,35226,3300,1086,3194,21459,232,10.9296
72,2024-11-16,Instagram,Image,NewSeason,4957513,347650,43285,3448,879,1838,7102,136,13.6954
73,2024-03-25,Twitter,Video,Summer2024,2590434,312974,36732,4972,1321,1191,18217,358,13.7471
74,2024-10-03,TikTok,Story,Merchandise,4152254,230511,7020,392,343,366,6344,46,3.3643
75,2024-01-11,Twitter,Post,Merchandise,2270822,303119,7647,1249,400,651,22468,92,3.0668
76,2024-02-16,YouTube,Reel,FanEngagement,3952732,183431,13406,1315,260,483,7119,253,8.1671
77,2024-01-19,Facebook,Reel,Merchandise,3825356,47168,2871,282,279,173,2170,0,7.2761
78,2024-01-28,YouTube,Reel,FanEngagement,1583556,272811,18286,2989,1212,1755,6615,281,8.2427
79,2024-12-23,Twitter,Story,FanEngagement,4076057,64662,1535,221,125,139,2053,7,2.909
80,2024-04-25,YouTube,Reel,Summer2024,961780,242931,34767,5116,829,3937,7392,361,16.7587
81,2024-08-29,Facebook,Reel,FanEngagement,2054563,240487,22044,2370,2049,1561,17207,442,11.0039
82,2024-06-23,Instagram,Story,FanEngagement,4269212,141075,17870,1651,658,1406,11275,250,14.3037
83,2024-09-04,Twitter,Reel,Merchandise,2905109,175294,16083,2115,819,839,4067,357,10.8486
84,2024-04-29,Twitter,Post,FanEngagement,3455831,23883,1465,177,135,85,1891,405,7.4404
85,2024-03-05,Twitter,Reel,Summer2024,4223523,310424,19606,1275,1687,587,22887,7,7.2701
86,2024-02-08,Twitter,Reel,NBA_Playoffs,3948372,410744,59967,6043,4338,5096,28597,436,17.127
87,2024-11-16,YouTube,Reel,NewSeason,4103200,458379,41406,5905,1288,3661,13804,116,10.6024
88,2024-11-20,Instagram,Reel,Summer2024,853115,233615,9724,923,122,509,3253,183,4.6097
89,2024-05-05,Facebook,Reel,NBA_Playoffs,4465746,217033,20307,3429,513,566,15400,317,11.173
90,2024-03-14,Twitter,Reel,Merchandise,1957737,242775,24988,2971,1749,2745,10334,147,12.2368
91,2024-08-14,YouTube,Image,Summer2024,2908814,309056,18200,3536,1312,1195,9626,196,7.4575
92,2024-07-14,TikTok,Video,NBA_Playoffs,4807635,189197,17921,3564,655,2110,10609,140,11.7021
93,2024-11-06,Instagram,Post,Summer2024,4176850,437647,60194,5593,4929,4858,15169,325,16.1582
94,2024-12-13,Twitter,Post,NewSeason,1157387,330382,10780,1553,146,1065,4075,186,3.7771
95,2024-06-16,Twitter,Video,NewSeason,3495492,93085,4291,720,381,242,4200,139,5.7926
96,2024-05-31,Twitter,Story,FanEngagement,2851349,422649,14780,2873,335,1724,29674,370,4.256
97,2024-02-16,TikTok,Post,NewSeason,3319931,8297,451,30,19,42,235,195,6.0263
98,2024-08-29,Facebook,Video,NBA_Playoffs,219921,325820,43969,5901,4061,1852,4700,421,16.5524
99,2024-02-29,TikTok,Story,FanEngagement,1182534,24774,3543,338,192,105,1786,69,16.4406
100,2024-12-09,TikTok,Reel,NewSeason,4541463,220743,21269,3381,1907,1818,15089,315,12.0307
101,2024-12-19,TikTok,Story,Summer2024,3118230,114911,8921,1718,776,267,6664,278,9.9338
102,2024-05-21,Facebook,Video,FanEngagement,1602229,65046,9325,1619,170,384,3562,497,17.0864
103,2024-05-04,Instagram,Video,NewSeason,1066326,413603,38628,2328,3046,1572,10388,445,10.6387
104,2024-11-01,Twitter,Story,NBA_Playoffs,33786,146371,19261,1381,417,868,3251,338,14.3874
105,2024-07-02,Instagram,Image,Summer2024,2005914,309728,19231,1464,283,1811,14503,381,6.773
106,2024-07-04,Instagram,Reel,FanEngagement,4315352,312251,10671,1340,1014,259,20241,443,4.1713
107,2024-11-25,YouTube,Story,FanEngagement,271310,32890,4927,872,238,151,1969,227,18.3551
108,2024-11-07,Instagram,Video,NewSeason,1254314,35436,1290,185,80,117,1299,305,4.3882
109,2024-09-15,YouTube,Story,FanEngagement,3618773,52998,6524,438,449,703,2575,443,13.9835
110,2024-04-26,Twitter,Reel,FanEngagement,3481319,178697,22795,2503,1724,1168,5696,130,15.1217
111,2024-02-04,Facebook,Image,FanEngagement,775248,437088,13592,1560,1046,778,8351,30,3.7059
112,2024-06-17,YouTube,Post,Merchandise,1035350,216382,14274,2138,1106,1524,13085,495,8.0959
113,2024-06-29,Facebook,Post,NewSeason,879064,303995,26132,1913,1395,2736,10490,284,9.6844
114,2024-10-20,Facebook,Video,NewSeason,1907159,424216,32149,4312,2541,2641,24285,285,9.1939
115,2024-01-15,Instagram,Post,NewSeason,1523439,144272,16064,1547,651,331,10227,289,12.658
116,2024-11-20,TikTok,Video,NBA_Playoffs,267170,49107,5745,472,274,310,1763,369,13.2181
117,2024-02-13,Facebook,Post,Merchandise,451314,82568,3340,476,235,157,4651,248,4.9063
118,2024-05-19,YouTube,Reel,FanEngagement,1818323,396807,34365,3497,686,3017,20443,269,9.7145
119,2024-07-21,Facebook,Video,NBA_Playoffs,469544,5030,234,44,18,22,152,61,5.8847
120,2024-03-30,Instagram,Reel,FanEngagement,1093688,200338,17877,1510,1077,1551,6970,203,10.2147
121,2024-08-23,Instagram,Reel,Summer2024,663158,452993,27495,3145,1275,2309,13710,207,7.0454
122,2024-11-12,Instagram,Story,NBA_Playoffs,3869572,437221,47940,4999,2363,1466,17706,205,12.6485
123,2024-06-07,YouTube,Video,FanEngagement,2858043,117167,7416,557,414,232,5354,463,7.1582
124,2024-04-30,Facebook,Story,NBA_Playoffs,872386,77778,4143,314,98,397,1188,487,5.8564
125,2024-10-23,TikTok,Reel,Merchandise,3775690,358110,50185,6758,3371,4137,25245,321,16.8423
126,2024-02-04,Facebook,Image,FanEngagement,3943595,232844,23768,4027,1502,1311,3537,236,12.5822
127,2024-07-07,TikTok,Video,Summer2024,2418176,41229,4279,841,77,339,1521,297,12.6052
128,2024-10-19,YouTube,Video,FanEngagement,1589067,169572,16728,2094,1609,1088,11321,428,12.0486
129,2024-11-26,Facebook,Video,Merchandise,1457529,21521,1123,129,55,81,454,190,6.0731
130,2024-06-22,Facebook,Reel,FanEngagement,449273,414782,42314,4239,1678,3207,15371,129,11.628
131,2024-02-11,YouTube,Image,NewSeason,4898373,348923,13393,1372,1300,1203,13062,304,4.6042
132,2024-07-11,Instagram,Story,Merchandise,2765461,427343,15646,2431,1490,1873,31568,47,4.5788
133,2024-01-10,TikTok,Post,NewSeason,3051689,162934,7076,581,674,485,4213,70,5.1131
134,2024-02-21,Twitter,Video,NewSeason,4268809,405160,36533,5874,2096,3148,28907,316,10.9841
135,2024-03-19,Twitter,Post,FanEngagement,1371028,95815,12271,2032,1016,448,3893,210,15.9881
136,2024-11-08,Facebook,Image,FanEngagement,2400148,395469,46392,5443,2693,2363,26339,240,13.7882
137,2024-08-13,Twitter,Story,Merchandise,3882852,404407,22901,2456,1316,2670,27169,410,6.5956
138,2024-01-27,YouTube,Image,NewSeason,4041486,459289,31349,5960,2320,2244,8601,42,8.6283
139,2024-09-19,Twitter,Story,FanEngagement,1246050,436707,33570,6444,1006,2185,15053,13,9.393
140,2024-09-14,TikTok,Video,FanEngagement,3147016,124615,8748,544,264,453,2110,365,7.6684
141,2024-01-20,Facebook,Image,NBA_Playoffs,2416518,481979,61630,9516,1386,5580,19954,2,15.0488
142,2024-04-20,Instagram,Video,NewSeason,1264261,288731,41066,5803,1974,4008,7690,62,16.9164
143,2024-11-23,Instagram,Image,FanEngagement,3844546,33929,1167,216,74,25,1563,123,4.2943
144,2024-01-01,Twitter,Story,FanEngagement,2969635,127124,11973,935,839,866,4480,488,10.8139
145,2024-09-16,YouTube,Post,Merchandise,4658563,11661,825,99,55,97,323,8,8.3955
146,2024-05-03,Facebook,Video,NewSeason,879595,405488,38783,6341,853,2141,13664,329,11.3387
147,2024-11-19,Twitter,Reel,FanEngagement,1539058,426458,16005,2519,1519,379,10282,405,4.6999
148,2024-06-07,Twitter,Video,NewSeason,4333350,209784,31170,4097,1022,2971,4904,182,17.2983
149,2024-03-04,Instagram,Story,NewSeason,3097168,230088,31207,5039,2824,1830,17983,254,16.9805
150,2024-05-16,TikTok,Story,Merchandise,702995,382200,28735,3292,2860,1093,11681,52,9.1279
151,2024-06-05,Instagram,Story,NewSeason,3750612,316947,35908,2692,1793,2323,19294,466,12.7444
152,2024-05-20,Facebook,Post,FanEngagement,491154,40343,4326,479,243,410,855,15,12.5127
153,2024-01-18,Twitter,Post,FanEngagement,1068894,36249,1837,269,78,211,444,78,6.025
154,2024-08-15,TikTok,Story,NewSeason,654961,301900,11442,1201,438,547,23317,13,4.3329
155,2024-07-17,Twitter,Reel,Merchandise,4721652,62740,3389,301,170,405,1881,469,6.1524
156,2024-03-10,TikTok,Image,Summer2024,631193,238000,10101,1585,1007,1020,18499,163,5.3332
157,2024-10-04,Facebook,Video,Merchandise,2445735,468314,27627,2034,2040,2487,10390,185,6.7692
158,2024-04-12,YouTube,Image,Summer2024,1174983,125117,15357,828,919,873,8289,282,13.6704
159,2024-02-03,Twitter,Post,Summer2024,2604518,209750,31451,4963,1802,3048,14186,37,18.2198
160,2024-08-18,Twitter,Story,Summer2024,3917692,357572,31200,2160,2639,2344,18288,393,10.0676
161,2024-01-29,Twitter,Reel,Merchandise,1051538,272634,10875,812,424,988,9329,481,4.4422
162,2024-05-08,YouTube,Story,Summer2024,1656699,333952,48197,4394,3193,3925,5523,328,16.7042
163,2024-03-19,Twitter,Post,Merchandise,1446134,346365,35046,6494,1415,3938,4462,442,12.4017
164,2024-11-24,Instagram,Video,Summer2024,4848307,139755,14624,2413,694,1226,6269,321,12.6872
165,2024-09-04,YouTube,Story,NewSeason,2064184,422888,52842,5860,2685,4695,8908,212,14.5161
166,2024-06-23,TikTok,Reel,NBA_Playoffs,1215180,164883,21763,2130,2152,1186,6250,389,15.796
167,2024-02-24,Facebook,Post,Merchandise,2686938,127740,10301,928,332,305,3872,196,9.0504
168,2024-03-22,YouTube,Reel,NBA_Playoffs,2756730,490554,46651,4520,3670,3257,22580,255,11.1794
169,2024-02-16,Facebook,Reel,Summer2024,3308754,265998,21130,1819,1320,525,7898,305,9.1238
170,2024-01-05,TikTok,Story,Merchandise,911750,226930,8489,761,364,512,2987,26,4.2365
171,2024-07-04,YouTube,Post,NBA_Playoffs,4650770,152310,4502,565,354,215,12068,348,3.5592
172,2024-02-19,YouTube,Video,NBA_Playoffs,3314303,196663,24255,2446,2292,2316,4706,260,14.7425
173,2024-01-24,TikTok,Post,Summer2024,336434,72846,8214,1401,466,286,5282,71,13.8388
174,2024-03-24,Facebook,Post,NewSeason,3306341,324223,37646,3572,1516,3871,15324,362,13.1804
175,2024-01-09,YouTube,Story,FanEngagement,3100009,174664,18792,3701,1175,1873,10614,352,13.5506
176,2024-05-15,Instagram,Post,FanEngagement,4862594,303846,15064,869,802,1090,18377,396,5.5077
177,2024-01-17,TikTok,Image,NBA_Playoffs,4813067,498132,55326,4349,2749,3423,19380,104,12.5316
178,2024-08-29,TikTok,Post,Merchandise,532453,371029,14080,1141,552,1214,17357,160,4.2512
179,2024-06-24,Twitter,Reel,Merchandise,4592471,186748,20143,3628,1435,2021,5323,247,13.4973
180,2024-10-12,Twitter,Image,NewSeason,2513992,118895,16929,3340,1344,1531,6933,250,18.1782
181,2024-10-13,Facebook,Reel,NewSeason,2303928,151884,5444,824,240,642,10219,488,4.2848
182,2024-05-27,Twitter,Story,Summer2024,672946,182594,25585,3796,1976,1059,12408,138,17.1731
183,2024-02-25,YouTube,Story,NBA_Playoffs,4932691,126452,6514,980,376,545,1729,211,6.2237
184,2024-12-14,Facebook,Reel,Summer2024,1163157,3716,540,106,13,46,266,243,17.7341
185,2024-06-13,TikTok,Image,NewSeason,2404237,339636,9404,1554,646,406,20958,435,3.4166
186,2024-03-31,Instagram,Image,FanEngagement,314840,439411,31465,3911,2966,3656,32877,448,8.7258
187,2024-10-17,Instagram,Video,NewSeason,910103,487777,72088,6681,7138,5358,21742,480,17.6119
188,2024-05-19,Twitter,Post,FanEngagement,1627419,425051,14725,1095,755,673,9790,377,3.8995
189,2024-12-11,Facebook,Story,Merchandise,1630354,93009,9247,1348,429,580,3065,205,11.8526
190,2024-09-01,Instagram,Image,NBA_Playoffs,2724567,491642,25686,2289,801,2449,37749,154,5.853
191,2024-05-13,YouTube,Post,Summer2024,3026141,364210,18472,2773,958,664,21133,472,6.0962
192,2024-07-07,Facebook,Video,NewSeason,1862617,115886,16740,2037,852,1990,4189,359,16.9382
193,2024-12-06,YouTube,Reel,Merchandise,1842169,400433,20890,3409,1850,588,16526,360,6.5302
194,2024-02-27,Facebook,Video,Merchandise,528064,435516,39716,4997,2444,1389,14358,266,10.8278
195,2024-10-25,TikTok,Video,NBA_Playoffs,4110586,48679,6661,778,99,221,1902,288,15.4851
196,2024-12-10,Instagram,Post,FanEngagement,2595113,380207,8680,765,89,362,5745,216,2.5076
197,2024-01-31,Facebook,Video,Merchandise,588974,490567,39917,3714,1045,1338,26935,373,9.107
198,2024-08-17,TikTok,Story,FanEngagement,3176668,197946,6023,1172,534,200,13899,60,3.9046
199,2024-09-27,Twitter,Post,FanEngagement,1078264,382607,56332,9870,4397,6638,16226,368,18.4521
200,2024-07-13,YouTube,Reel,Merchandise,1936561,130767,10445,765,281,1123,8314,16,8.7874
201,2024-05-03,TikTok,Post,Summer2024,1738737,36279,1201,66,76,108,486,379,3.7019
202,2024-04-29,Instagram,Reel,FanEngagement,4537833,114911,13567,2257,306,1619,3032,469,14.037
203,2024-11-02,YouTube,Story,Merchandise,2699933,125205,7415,530,514,312,3885,31,6.7561
204,2024-11-16,YouTube,Post,NBA_Playoffs,3593618,292425,24689,4835,2339,2151,19009,163,10.8961
205,2024-06-02,TikTok,Reel,NBA_Playoffs,3167976,97405,11501,1391,994,575,5798,412,14.2559
206,2024-07-30,TikTok,Video,Merchandise,3503921,293178,26063,2821,858,1382,4554,230,10.1447
207,2024-04-07,Facebook,Video,Merchandise,442320,141751,9785,1377,132,266,9401,300,7.9675
208,2024-04-16,YouTube,Image,FanEngagement,2803107,159957,23099,1208,2179,2684,2913,386,16.5582
209,2024-12-26,TikTok,Image,Merchandise,1725580,208949,29036,3856,2316,1686,9894,183,16.85
210,2024-09-19,Facebook,Story,NewSeason,4181464,245320,8051,1587,420,837,18154,189,4.1
211,2024-10-15,Facebook,Reel,Summer2024,1866181,389629,15183,1353,1429,1182,15285,78,4.6108
212,2024-07-13,Twitter,Story,NBA_Playoffs,4789740,437922,22747,3016,2158,1222,27779,250,6.3758
213,2024-06-29,TikTok,Reel,NBA_Playoffs,1429903,74378,8452,1041,781,627,4085,30,13.8132
214,2024-12-08,YouTube,Video,Summer2024,416968,401733,8368,590,558,224,8264,111,2.3687
215,2024-01-31,YouTube,Reel,NewSeason,4063410,346654,28918,1474,1724,612,16313,140,9.2646
216,2024-09-14,YouTube,Story,Summer2024,3621909,423664,60229,4631,5578,4362,11382,317,16.6259
217,2024-05-16,YouTube,Story,NewSeason,3339408,42428,2906,322,176,345,1095,350,8.023
218,2024-07-26,Instagram,Video,Summer2024,3191497,198745,18254,1066,198,677,8941,222,9.8206
219,2024-09-27,Facebook,Post,Summer2024,366950,121463,5767,1039,518,389,1610,38,6.0298
220,2024-12-02,Facebook,Post,Merchandise,286000,95033,13374,1299,1291,1052,5954,364,16.7984
221,2024-03-24,TikTok,Video,NewSeason,4740824,127076,11903,2111,844,881,4685,378,11.6922
222,2024-06-26,Twitter,Video,Merchandise,460438,52215,4011,705,163,388,4012,203,9.3441
223,2024-08-18,Facebook,Video,NewSeason,4125480,120610,7991,1527,390,702,6783,43,8.2149
224,2024-02-07,YouTube,Story,NBA_Playoffs,698184,141494,5666,888,379,532,4551,54,4.8999
225,2024-08-15,Instagram,Video,NewSeason,3029206,400164,22036,1539,592,1429,19540,208,6.0393
226,2024-06-30,Instagram,Video,Summer2024,4659132,49792,4859,814,426,103,1940,398,12.249
227,2024-10-19,Instagram,Post,NBA_Playoffs,4381341,89910,9808,739,335,459,1817,85,12.1032
228,2024-06-02,TikTok,Story,FanEngagement,4072026,411342,12340,1082,397,1018,21211,100,3.3595
229,2024-06-04,TikTok,Video,NBA_Playoffs,66768,498456,35609,6275,1573,3782,20344,220,8.7183
230,2024-06-13,YouTube,Image,NewSeason,1694864,252139,15341,2986,1490,753,14787,251,7.8596
231,2024-07-11,YouTube,Image,NewSeason,2361328,429078,52417,5490,4921,2095,34244,92,14.6426
232,2024-12-28,YouTube,Video,FanEngagement,1768658,230876,28559,4989,463,2992,15157,344,14.7313
233,2024-05-03,TikTok,Image,NewSeason,2129647,346329,13866,1573,609,899,17959,298,4.6337
234,2024-12-20,TikTok,Post,Merchandise,3518960,286026,7087,1383,518,717,14749,468,3.1424
235,2024-12-02,Instagram,Video,NBA_Playoffs,2988029,88209,9183,520,904,805,3349,385,12.0249
236,2024-01-06,Facebook,Reel,Summer2024,837171,136653,6676,1081,402,592,3480,191,5.9706
237,2024-12-19,TikTok,Reel,Merchandise,4208211,80033,5189,278,100,319,6188,59,6.9559
238,2024-06-24,Twitter,Story,NewSeason,3829606,412183,19328,2366,1021,1233,24225,163,5.5109
239,2024-12-29,Instagram,Story,Summer2024,975405,12841,1674,246,118,60,1012,124,15.871
240,2024-03-22,YouTube,Image,Merchandise,2786542,294522,22215,2650,1817,1843,6787,336,9.0594
241,2024-11-10,TikTok,Reel,Summer2024,1665277,236706,22957,2486,1685,931,14832,414,11.4606
242,2024-10-01,Instagram,Post,Summer2024,1578332,192780,12025,1426,404,1277,9049,327,7.1869
243,2024-11-08,Facebook,Post,FanEngagement,3302897,308759,10760,1106,550,400,17645,409,4.0213
244,2024-02-13,Facebook,Post,Merchandise,1133635,165199,5835,559,154,521,7559,214,3.9637
245,2024-07-15,YouTube,Image,Merchandise,3558706,98388,8192,1069,759,926,2176,85,10.1842
246,2024-04-05,TikTok,Story,NBA_Playoffs,2648888,442442,34789,2019,1472,729,8653,417,8.652
247,2024-11-30,TikTok,Post,Merchandise,4162108,215504,23492,2639,2010,1617,3402,15,13.0582
248,2024-05-20,Twitter,Story,Summer2024,1896123,282861,16272,2719,991,1582,12635,261,7.0642
249,2024-05-17,Instagram,Post,Summer2024,4565904,432637,64383,8453,5029,6180,17692,111,17.9978
250,2024-06-01,TikTok,Video,NBA_Playoffs,280368,236789,12825,2299,228,1366,4313,415,6.4834
251,2024-12-18,Twitter,Image,Merchandise,2951304,452437,50853,7369,1268,1725,11068,105,13.1488
252,2024-09-29,Instagram,Post,NewSeason,2367912,313925,28265,2785,2073,1383,9014,439,10.5512
253,2024-07-29,YouTube,Video,NBA_Playoffs,507326,146397,19429,1341,1708,873,8754,424,15.3541
254,2024-03-13,Twitter,Reel,FanEngagement,4853796,332560,18268,2048,925,1522,23814,47,6.3871
255,2024-12-21,TikTok,Post,NewSeason,3105993,239391,34360,3404,351,3347,14672,374,15.9217
256,2024-09-30,TikTok,Story,Summer2024,3346282,115205,16803,2919,916,878,3439,280,17.9142
257,2024-09-05,YouTube,Image,Merchandise,2893496,469794,51081,2924,968,5025,19811,63,11.7015
258,2024-01-01,Twitter,Reel,FanEngagement,3598640,107073,16001,2982,1430,803,7624,448,19.0646
259,2024-05-08,Facebook,Video,NewSeason,701393,195953,20846,3071,305,1721,11917,386,12.3611
260,2024-12-26,Twitter,Reel,Summer2024,808458,1569,74,4,4,5,64,4,5.2263
261,2024-12-21,Facebook,Video,FanEngagement,1118765,251452,7344,789,556,222,8030,451,3.4555
262,2024-03-09,Facebook,Image,FanEngagement,1208338,36867,3279,168,224,209,2233,321,9.9574
263,2024-12-17,Twitter,Reel,Merchandise,3720984,451868,21798,4021,492,704,27609,179,5.8227
264,2024-05-06,TikTok,Story,NBA_Playoffs,2333373,338966,10491,1395,671,847,21872,353,3.7045
265,2024-09-22,Instagram,Story,NBA_Playoffs,4284185,99905,11710,1104,174,1285,7675,253,13.0004
266,2024-09-12,TikTok,Video,NBA_Playoffs,4992244,38230,3390,666,334,384,735,440,11.4831
267,2024-10-06,YouTube,Reel,NewSeason,1459302,400888,32564,6451,539,2563,4395,110,9.8666
268,2024-09-16,Instagram,Video,FanEngagement,2413233,330552,37233,6145,1791,2242,18126,275,13.6647
269,2024-02-12,YouTube,Image,NewSeason,2609687,42430,3668,295,303,270,1584,324,10.0542
270,2024-05-02,Instagram,Story,FanEngagement,495750,129177,4031,464,204,326,4088,379,3.6376
